year,international,financial_aid,SA
2024,No,No,0
2023,Yes,No,-0.986450553
2022,No,No,-0.999791324
2021,No,No,0
2024,No,No,-0.999495983
2022,No,Yes,-0.996355236
2023,No,No,0
2023,No,Yes,-0.999303639
2022,No,Yes,-0.999477744
,,,0
2023,No,Yes,-0.999435604
2022,Yes,Yes,0
2022,No,Yes,0
2024,No,Yes,0
2024,No,No,0
2024,No,No,-0.994033813
2021,No,No,-0.973711133
2022,No,No,0
2021,No,Yes,-0.999603868
2024,No,No,0
2022,Yes,No,-0.976620078
2022,No,Yes,-0.945904493
2021,No,Yes,0
2023,No,No,-0.690777183
2024,No,No,0
2024,No,No,0
2022,No,No,0
2024,No,Yes,-0.999483228
2021,No,Yes,-0.999134243
2024,Yes,Yes,0
2024,No,No,0
2022,No,Yes,-0.999611378
2023,No,Yes,-0.999769866
2023,No,No,0.99978292
2024,No,No,-0.998315811
2023,No,Yes,-0.999769986
2024,No,No,0
2023,No,No,0
2022,No,Yes,0
2022,No,Yes,-0.999129653
2024,No,No,0.999525189
2022,No,Yes,0
2021,No,Yes,0
2021,No,Prefer not to say,0
2023,No,No,0
2022,No,No,0
2024,No,No,-0.998875439
2024,No,Yes,0
2021,No,No,0
2021,No,No,-0.999108613
2023,No,No,0
2023,No,Yes,0
2021,No,No,0
2024,No,Yes,0.998771846
2021,No,Yes,0
2023,Yes,Yes,0
2022,No,Yes,0.99957788
2021,No,Yes,0.959839046
2021,No,Yes,0
2024,No,Yes,0.987740099
2023,No,No,0
2024,No,Yes,-0.99485451
2024,No,No,0.99922204
2022,No,Yes,0.997751355
2021,No,Yes,0
2024,No,No,-0.982950389
2023,Yes,Yes,0
2024,No,No,0
2024,No,No,-0.999238849
2021,No,Yes,-0.993016601
2022,No,Yes,-0.996888936
2022,No,Yes,-0.994879961
2024,No,Yes,-0.999633491
2024,No,Yes,0
2023,Yes,Yes,0
2023,No,No,0
2024,No,No,-0.999795318
2023,No,No,0.973837852
2023,No,Yes,-0.998780966
2024,No,Yes,0
2024,No,Yes,0
2022,No,No,0
2024,No,Yes,0
2024,No,No,0
2024,No,No,0.699164689
2023,No,Yes,-0.965832412
2021,No,Yes,0.991346955
2021,No,Yes,0
2024,No,No,-0.9996503
2022,Yes,Yes,-0.999780834
2023,No,No,0
2021,No,No,0
2023,No,No,0
2021,No,No,-0.990964472
2023,No,Yes,0
2024,No,Yes,-0.999119997
2023,No,Yes,0
2023,No,Yes,0
2024,No,No,-0.999795854
2023,Yes,Yes,-0.999229968
2021,No,No,0
2022,No,No,-0.987044632
2023,Yes,No,-0.99982214
2022,No,No,-0.999762535
2021,No,No,0
2021,No,Yes,-0.98651427
2023,Yes,No,0
2021,No,No,-0.999744594
2024,No,No,0.99093616
2024,No,No,0.891744852
2022,No,Yes,0
2024,No,No,-0.999635279
2023,No,Yes,0
2022,No,Yes,-0.999623477
2023,No,No,-0.997015655
2024,No,Yes,0.992839634
